Time,Open,High,Low,Close,Volume,RSI,ATR,ADX,ADX+,ADX-,Tenkan,Kijun,SenkouA,SenkouB,Chikou
2025.09.16 09:37:00,1.18083,1.18128,1.18081,1.18128,67,67.94181688915722,0.00018761904761905728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025.09.16 09:38:00,1.18122,1.18125,1.18095,1.18098,68,59.927075255979695,0.00019761904761906994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025.09.16 09:39:00,1.18100,1.18120,1.18097,1.18118,65,62.98370840008349,0.00020047619047621038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025.09.16 09:40:00,1.18116,1.18136,1.18108,1.18128,49,64.40896227835188,0.000207142857142889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025.09.16 09:41:00,1.18125,1.18147,1.18111,1.18139,56,65.92435565495549,0.00021190476190479325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025.09.16 09:42:00,1.18139,1.18144,1.18132,1.18143,48,66.46946277026001,0.00020952380952384643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025.09.16 09:43:00,1.18144,1.18150,1.18137,1.18146,51,66.8866124823783,0.0002061904761905124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025.09.16 09:44:00,1.18144,1.18158,1.18141,1.18152,59,67.72970203298185,0.00020761904761908262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025.09.16 09:45:00,1.18151,1.18165,1.18151,1.18158,63,68.56994433870689,0.00020238095238099535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025.09.16 09:46:00,1.18158,1.18162,1.18145,1.18161,47,68.99379174690172,0.00020238095238100592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025.09.16 09:47:00,1.18161,1.18173,1.18158,1.18170,69,70.25723649189804,0.00020285714285718894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025.09.16 09:48:00,1.18170,1.18176,1.18162,1.18164,56,68.30881729529973,0.00020333333333337196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025.09.16 09:49:00,1.18163,1.18171,1.18144,1.18145,81,62.54177436178676,0.0002090476190476528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025.09.16 09:50:00,1.18146,1.18162,1.18132,1.18160,52,64.99181332945457,0.00021904761904765487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025.09.16 09:51:00,1.18160,1.18175,1.18158,1.18172,32,66.81506272236936,0.00021714285714289106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025.09.16 09:52:00,1.18173,1.18176,1.18170,1.18172,28,66.81506272236936,0.0002080952380952656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025.09.16 09:53:00,1.18172,1.18173,1.18159,1.18162,35,63.764011860292605,0.0002095238095238464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025.09.16 09:54:00,1.18164,1.18170,1.18157,1.18165,55,64.27784635388622,0.00020238095238098476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025.09.16 09:55:00,1.18166,1.18171,1.18150,1.18155,52,61.238529728503075,0.00019952380952384431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025.09.16 09:56:00,1.18156,1.18161,1.18142,1.18156,73,61.43002290730348,0.00020285714285717834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025.09.16 09:57:00,1.18155,1.18155,1.18126,1.18143,54,57.549190091881265,0.00021238095238098681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025.09.16 09:58:00,1.18143,1.18148,1.18132,1.18133,58,54.755256855777255,0.0001976190476190805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025.09.16 09:59:00,1.18135,1.18144,1.18133,1.18137,36,55.65938055713172,0.00018714285714288483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025.09.16 10:00:00,1.18138,1.18141,1.18112,1.18113,41,49.435780552885284,0.00019000000000003584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025.09.16 10:01:00,1.18115,1.18122,1.18108,1.18117,48,50.40622026703245,0.00018333333333336779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025.09.16 10:02:00,1.18117,1.18121,1.18110,1.18121,32,51.38588381191805,0.00017142857142860192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025.09.16 10:03:00,1.18121,1.18123,1.18101,1.18103,56,46.99914747815541,0.00017619047619049557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025.09.16 10:04:00,1.18102,1.18107,1.18091,1.18091,55,44.348945123834184,0.00017761904761907636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025.09.16 10:05:00,1.18091,1.18092,1.18076,1.18080,60,42.06587265948991,0.00017714285714288277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
